// ステータス異常データベース
// ID,Name,SaveFlag,Releasable,Disable,Copyable
// 状態異常ID,名前（ダミー）,セーブ可否,解除可否フラグ,無効可否フラグ,複写可否フラグ
// 　※注：SaveFlagが-1のものは基本的に変更しないでください、サーバクラッシュする可能性があります

479,SC_SITDOWN_FORCE,0,1,1,1		// 強制座り状態
480,SC_EARTHDRIVE,0,1,0,0			// アースドライブ
481,SC_INSPIRATION,0,1,0,0		// インスピレーション
482,SC_FALLENEMPIRE,0,1,0,0		// 大纏崩捶
483,SC_CRESCENTELBOW,0,1,0,0		// 破碎柱
484,SC_CURSEDCIRCLE_USER,0,1,0,0		// 呪縛陣(使用者)
485,SC_CURSEDCIRCLE,0,1,0,0		// 呪縛陣
486,SC_LIGHTNINGWALK,0,1,0,0		// 閃電歩
487,SC_RAISINGDRAGON,0,1,0,0		// 潜竜昇天
488,SR_GENTLETOUCH_ENERGYGAIN,0,1,0,0	// 点穴 -球-
489,SR_GENTLETOUCH_CHANGE,0,1,0,0		// 点穴 -反-
490,SR_GENTLETOUCH_REVITALIZE,0,1,0,0	// 点穴 -活-
491,SC_SWING,0,1,0,0			// スイングダンス
492,SC_SYMPHONY_LOVE,0,1,0,0		// 恋人たちの為のシンフォニー
493,SC_MOONLIT_SERENADE,0,1,0,0		// 月明かりのセレナーデ
494,SC_RUSH_WINDMILL,0,1,0,0		// 風車に向かって突撃
495,SC_ECHOSONG,0,1,0,0			// エコーの歌
496,SC_HARMONIZE,0,1,0,0			// ハーモナイズ
497,SC_NETHERWORLD,0,1,0,0		// 地獄の歌
498,SC_SIREN,0,1,0,0			// セイレーンの声
499,SC_DEEP_SLEEP,0,1,0,0			// 安らぎの子守唄
500,SC_SIRCLEOFNATURE,0,1,0,0		// 循環する自然の音
501,SC_GLOOMYDAY,0,1,0,1			// メランコリー
502,SC_SONG_OF_MANA,0,1,0,0		// マナの歌
503,SC_DANCE_WITH_WUG,0,1,0,0		// ダンスウィズウォーグ
504,SC_SATURDAY_NIGHT_FEVER,0,1,0,0	// フライデーナイトフィーバー
505,SC_LERADS_DEW,0,1,0,0			// レーラズの霧
506,SC_MELODYOFSINK,0,1,0,0		// メロディーオブシンク
507,SC_BEYOND_OF_WARCRY,0,1,0,0		// ビヨンドオブウォークライ
508,SC_UNLIMITED_HUMMING_VOICE,0,1,0,0	// エンドレスハミングボイス
509,SC_PROPERTYWALK,0,1,0,0		// ファイアー/エレクトリックウォーク
510,SC_SPELLFIST,0,1,0,0			// スペルフィスト
511,SC_DIAMONDDUST,0,1,1,1		// ダイヤモンドダスト
512,SC_CLOUD_KILL,0,1,0,1			// クラウドキル
513,SC_STRIKING,0,1,0,0			// ストライキング
514,SC_WARMER,0,1,0,0			// ウォーマー
515,SC_VACUUM_EXTREME,0,1,0,0		// バキュームエクストリーム
516,SC_GN_CARTBOOST,0,1,0,0		// カートブースト
517,SC_THORNS_TRAP,0,1,0,0		// ソーントラップ
518,SC_BLOOD_SUCKER,0,1,0,0		// ブラッドサッカー
519,SC_SPORE_EXPLOSION,0,1,0,0		// スポアエクスプロージョン
520,SC_FIRE_EXPANSION_SMOKE_POWDER,0,1,0,0	// ファイアーエクスパンション(煙幕)
521,SC_FIRE_EXPANSION_TEAR_GAS,0,1,0,0	// ファイアーエクスパンション(催涙)
522,SC_MANDRAGORA,0,513,0,1			// ハウリングマンドラゴラ
523,SC_MELON_BOMB,0,1,0,0			// メロン爆弾
524,SC_BANANA_BOMB,0,1,0,0		// バナナ爆弾
525,SC_MYSTERIOUS_POWDER,0,1,0,0		// 不思議な粉
526,SC_BOOST500,0,1,0,0			// ブースト500
527,SC_FULL_SWING_K,0,1,0,0		// フルスイングK
528,SC_MANA_PLUS,0,1,0,0			// マナプラス
529,SC_MUSTLE_M,0,1,0,0			// マッスルM
530,SC_LIFE_FORCE_F,0,1,0,0		// ライフフォースF
531,SC_PROMOTE_HEALTH_RESERCH,0,1,0,0	// HP増加ポーション
532,SC_ENERGY_DRINK_RESERCH,0,1,0,0	// SP増加ポーション
533,SC_EXTRACT_WHITE_POTION_Z,0,1,0,0	// 濃縮ホワイトポーションZ
534,SC_VITATA_500,0,1,0,0			// ビタタ500
535,SC_EXTRACT_SALAMINE_JUICE,0,1,0,0	// 濃縮サラマインジュース
536,SC_SAVAGE_STEAK,0,1,0,0		// サベージの丸焼き
537,SC_COCKTAIL_WARG_BLOOD,0,1,0,0	// カクテルウォーグブラッド
538,SC_MINOR_BBQ,0,1,0,0			// ミノタウロスのカルビ
539,SC_SIROMA_ICE_TEA,0,1,0,0		// シロマアイスティー
540,SC_DROCERA_HERB_STEAMED,0,1,0,0	// ドロセラのハーブ煮
541,SC_PUTTI_TAILS_NOODLES,0,1,0,0	// プティットのしっぽ麺
542,SC_STOMACHACHE,0,1,0,0		// 腹痛
543,SC_MONSTER_TRANSFORM,1,1,0,0		// モンスター変身
544,SC_IZAYOI,1,75,0,0		// 十六夜
545,SC_KG_KAGEHUMI,0,0,0,0		// 幻術 -影踏み-
546,SC_KYOMU,0,0,0,0		// 幻術 -虚無の影-
547,SC_KAGEMUSYA,0,0,0,0		// 幻術 -分身-
548,SC_AKAITSUKI,0,0,0,0		// 幻術 -紅月-
549,SC_ALL_RIDING,1,1,0,0		// 搭乗システム
550,SC_MEIKYOUSISUI,0,0,0,0		// 明鏡止水
551,SC_KYOUGAKU,0,0,0,0		// 幻術 -驚愕-
552,SC_ODINS_POWER,0,1,0,0		// オーディンの力
553,SC_JOB_COMBATHAN,1,0,0,0			// Job教範
554,SC_MER_FLEE,1,0,0,0			// 傭兵ボーナス(FLEE)
555,SC_MER_ATK,1,0,0,0		// 傭兵ボーナス(ATK)
556,SC_MER_HP,1,0,0,0		// 傭兵ボーナス(HIT)
557,SC_MER_SP,1,0,0,0		// 傭兵ボーナス(HP)
558,SC_MER_HIT,1,0,0,0		// 傭兵ボーナス(SP)
559,SC_ON_PUSH_CART,1,0,0,0		// カート
560,SC_KO_ZENKAI,0,0,0,0		// 術式 -展開-
561,SC_KO_JYUMONJIKIRI,0,0,0,0		// 十文字斬り
562,SC_SUMMON_ELEM,1,1,0,0		// サモンエレメンタル
563,SC_CIRCLE_OF_FIRE,0,1,0,0		// サークルオブファイア
564,SC_CIRCLE_OF_FIRE_OPTION,0,1,0,0	// サークルオブファイア(精霊)
565,SC_FIRE_CLOAK,0,1,0,0			// ファイアークローク
566,SC_FIRE_CLOAK_OPTION,0,1,0,0	// ファイアークローク(精霊)
567,SC_WATER_SCREEN,0,1,0,0			// ウォータースクリーン
568,SC_WATER_SCREEN_OPTION,0,1,0,0	// ウォータースクリーン(精霊)
569,SC_WATER_DROP,0,1,0,0			// ウォータードロップ
570,SC_WATER_DROP_OPTION,0,1,0,0	// ウォータードロップ(精霊)
571,SC_WATER_BARRIER,0,1,0,0		// ウォーターバリアー
572,SC_WIND_STEP,0,1,0,0			// ウィンドステップ
573,SC_WIND_STEP_OPTION,0,1,0,0		// ウィンドステップ(精霊)
574,SC_WIND_CURTAIN,0,1,0,0			// ウィンドカーテン
575,SC_WIND_CURTAIN_OPTION,0,1,0,0	// ウィンドカーテン(精霊)
576,SC_ZEPHYR,0,1,0,0				// ゼファー
577,SC_SOLID_SKIN,0,1,0,0			// ソリッドスキン
578,SC_SOLID_SKIN_OPTION,0,1,0,0	// ソリッドスキン(精霊)
579,SC_STONE_SHIELD,0,1,0,0			// ストーンシールド
580,SC_STONE_SHIELD_OPTION,0,1,0,0	// ストーンシールド(精霊)
581,SC_POWER_OF_GAIA,0,1,0,0		// パワーオブガイア
582,SC_PYROTECHNIC,0,1,0,0			// パイロテクニック
583,SC_PYROTECHNIC_OPTION,0,1,0,0	// パイロテクニック(精霊)
584,SC_HEATER,0,1,0,0				// ヒーター
585,SC_HEATER_OPTION,0,1,0,0		// ヒーター(精霊)
586,SC_TROPIC,0,1,0,0				// トロピック
587,SC_TROPIC_OPTION,0,1,0,0		// トロピック(精霊)
588,SC_AQUAPLAY,0,1,0,0				// アクアプレイ
589,SC_AQUAPLAY_OPTION,0,1,0,0		// アクアプレイ(精霊)
590,SC_COOLER,0,1,0,0				// クーラー
591,SC_COOLER_OPTION,0,1,0,0		// クーラー(精霊)
592,SC_CHILLY_AIR,0,1,0,0			// クールエアー
593,SC_CHILLY_AIR_OPTION,0,1,0,0	// クールエアー(精霊)
594,SC_GUST,0,1,0,0					// ガスト
595,SC_GUST_OPTION,0,1,0,0			// ガスト(精霊)
596,SC_BLAST,0,1,0,0				// ブラスト
597,SC_BLAST_OPTION,0,1,0,0			// ブラスト(精霊)
598,SC_WILD_STORM,0,1,0,0			// ワイルドストーム
599,SC_WILD_STORM_OPTION,0,1,0,0	// ワイルドストーム(精霊)
600,SC_PETROLOGY,0,1,0,0			// ペトロジー
601,SC_PETROLOGY_OPTION,0,1,0,0		// ペトロジー(精霊)
602,SC_CURSED_SOIL,0,1,0,0			// カースドソイル
603,SC_CURSED_SOIL_OPTION,0,1,0,0	// カースドソイル(精霊)
604,SC_UPHEAVAL,0,1,0,0				// アップヘイバル
605,SC_UPHEAVAL_OPTION,0,1,0,0		// アップヘイバル(精霊)
606,SC_TIDAL_WEAPON,0,1,0,0			// タイダルウェポン
607,SC_TIDAL_WEAPON_OPTION,0,1,0,0	// タイダルウェポン(精霊)
608,SC_ROCK_CRUSHER,0,1,0,0			// ロックランチャー
609,SC_ROCK_CRUSHER_ATK,0,1,0,0		// ロックランチャー
610,SC_FIRE_INSIGNIA,0,1,0,0		// ファイアーインシグニア
611,SC_WATER_INSIGNIA,0,1,0,0		// ウォーターインシグニア
612,SC_WIND_INSIGNIA,0,1,0,0		// ウィンドインシグニア
613,SC_EARTH_INSIGNIA,0,1,0,0		// アースインシグニア
614,SC_HAT_EFFECT,1,0,0,0		// 頭装備エフェクト
615,SC_JP_EVENT01,1,0,0,0		// 魚貝形モンスター(物理ダメージ上昇)
616,SC_JP_EVENT02,1,0,0,0		// 魚貝形モンスター(魔法ダメージ上昇)
617,SC_JP_EVENT03,1,0,0,0		// 魚貝形モンスター(ダメージ減少)
618,SC_JP_EVENT04,1,0,0,0		// 魚貝形モンスター(獲得経験値上昇)
619,SC_ACTIVE_MONSTER_TRANSFORM,0,1,0,0	// アクティブモンスター変身
620,SC_INVINCIBLE,0,0,0,0		// インビンシブル
621,SC_INVINCIBLEOFF,0,0,0,0		// インビンシブルオフ
622,SC_RAID,0,7,0,0			// サプライズアタック
623,SC_ZANGETSU,0,0,0,0		// 幻術 -残月-
624,SC_GENSOU,0,0,0,0		// 幻術 -朧幻想-
625,SC_ASSUMPTIO2,1,615,0,0		// キャッシュアスムプティオ
626,SC_PHI_DEMON,0,1,0,0			// 古代精霊のお守り
627,SC_ATKPOTION,0,1,0,0			// ATK上昇
628,SC_MATKPOTION,0,1,0,0			// MATK上昇
629,SC_ALMIGHTY,1,0,0,0		// ATK,MATK上昇（食事用、死亡しても効果維持）
630,SC_DARKCROW,1,1,0,0		// ダーククロー
631,SC_UNLIMIT,1,1,0,0		// アンリミット
632,SC_ILLUSIONDOPING,1,1,0,0		// イリュージョンドーピング
633,SC_FRIGG_SONG,1,1,0,0		// フリッグの歌
634,SC_OFFERTORIUM,1,1,0,0		// オフェルトリウム
635,SC_TELEKINESIS_INTENSE,1,1,0,0		// テレキネシスインテンス
636,SC_KINGS_GRACE,0,1,0,0		// キングスグレイス
637,SC_FULL_THROTTLE,1,1,0,0		// フルスロットル
638,SC_REBOUND,1,0,0,0		// リバウンド
639,SC__ESCAPE,-1,1,0,0		// エスケープ
640,SC_SUHIDE,0,7,0,0			// かくれる
641,SC_SU_STOOP,0,7,0,0			// うずくまる
642,SC_CATNIPPOWDER,0,1,0,0		// イヌハッカシャワー
643,SC_SV_ROOTTWIST,0,1,0,0		// マタタビの根っこ
644,SC_BITESCAR,0,1,0,0			// タロウの傷
645,SC_ARCLOUSEDASH,1,7,0,0		// アクラウスダッシュ
646,SC_TUNAPARTY,0,1,0,0		// マグロシールド
647,SC_SHRIMP,1,1,0,0			// エビ三昧
648,SC_FRESHSHRIMP,1,1,0,0		// 新鮮なエビ
649,SC_HISS,1,1,0,0				// 警戒
650,SC_NYANGGRASS,0,1,0,0		// ニャングラス
651,SC_CHATTERING,1,3,0,0		// チャタリング
652,SC_GROOMING,1,1,0,0				// グルーミング
653,SC_PROTECTIONOFSHRIMP,1,1,0,0	// エビパーティー
654,SC_SPIRITOFLAND,0,1,0,0			// 大地の魂

//startでは使えないresistをアイテム側で全てクリアするための物
//1001,SC_RESISTCLEAR		// 全耐性解除
//1002,SC_RACECLEAR		// 全種族変化解除
//1003,SC_SOUL			// 魂付与
//1004,SC_SOULCLEAR		// 魂解除
