//基本SPデータベース
//NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DE,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB,RB,SU,SJ,SP,DK,MT,SHC,AG,CD,WH,IG,BO,ABC,EM,IQ,TRB,TRV
96,182,526,182,440,268,182,268,698,784,354,354,354,414,414,612,440,354,526,526,96,176,398,760,378,418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,184,532,184,445,271,184,271,706,793,358,358,358,418,418,619,445,358,532,532,97,177,400,765,384,426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,186,538,186,450,274,186,274,714,802,362,362,362,423,423,626,450,362,538,538,98,178,402,770,390,434,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,188,544,188,455,277,188,277,722,811,366,366,366,428,428,633,455,366,544,544,99,188,404,775,396,442,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,190,550,190,460,280,190,280,730,820,370,370,370,433,433,640,460,370,550,550,100,190,430,820,402,450,-1,-1,-1,272,819,363,728,363,363,363,819,363,363,363,819,363,-1,-1,-1,-1,230,-1,-1,272,363,363,819,728,363,363,819,363,819,363,363,363
101,192,556,192,465,283,192,283,738,829,374,374,374,438,438,647,465,374,556,556,101,190,433,825,408,458,-1,-1,-1,275,828,368,736,368,368,368,828,368,368,368,828,368,-1,-1,-1,-1,233,-1,-1,275,368,368,828,736,368,368,828,368,828,368,368,368
102,194,562,194,470,286,194,286,746,838,378,378,378,443,443,654,470,378,562,562,102,190,436,830,414,466,-1,-1,-1,279,837,372,744,372,372,372,837,372,372,372,837,372,-1,-1,-1,-1,235,-1,-1,279,372,372,837,744,372,372,837,372,837,372,372,372
103,196,568,196,475,289,196,289,754,847,382,382,382,448,448,661,475,382,568,568,103,190,439,845,420,474,-1,-1,-1,283,846,377,752,377,377,377,846,377,377,377,846,377,-1,-1,-1,-1,238,-1,-1,283,377,377,846,752,377,377,846,377,846,377,377,377
104,198,574,198,480,292,198,292,762,856,386,386,386,453,453,668,480,386,574,574,104,190,442,850,426,482,-1,-1,-1,286,855,381,760,381,381,381,855,381,381,381,855,381,-1,-1,-1,-1,240,-1,-1,286,381,381,855,760,381,381,855,381,855,381,381,381
105,200,580,200,485,295,200,295,770,865,390,390,390,458,458,675,485,390,580,580,105,190,445,855,432,490,-1,-1,-1,290,864,386,769,386,386,386,864,386,386,386,864,386,-1,-1,-1,-1,243,-1,-1,290,386,386,864,769,386,386,864,386,864,386,386,386
106,202,586,202,490,298,202,298,778,874,394,394,394,463,463,682,490,394,586,586,106,190,448,860,438,498,-1,-1,-1,293,873,390,777,390,390,390,873,390,390,390,873,390,-1,-1,-1,-1,245,-1,-1,293,390,390,873,777,390,390,873,390,873,390,390,390
107,204,592,204,495,301,204,301,786,883,398,398,398,468,468,689,495,398,592,592,107,190,451,865,444,506,-1,-1,-1,297,882,395,785,395,395,395,882,395,395,395,882,395,-1,-1,-1,-1,248,-1,-1,297,395,395,882,785,395,395,882,395,882,395,395,395
108,206,598,206,500,304,206,304,794,892,402,402,402,473,473,696,500,402,598,598,108,190,454,870,450,514,-1,-1,-1,301,892,399,793,399,399,399,892,399,399,399,892,399,-1,-1,-1,-1,250,-1,-1,301,399,399,892,793,399,399,892,399,892,399,399,399
109,208,604,208,505,307,208,307,802,901,406,406,406,478,478,703,505,406,604,604,109,200,500,900,456,522,-1,-1,-1,300,900,400,800,400,400,400,900,400,400,400,900,400,109,522,522,456,253,652,1125,300,400,400,900,800,400,400,900,400,900,400,400,400
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,310,910,410,810,410,410,410,910,410,410,410,910,410,114,530,530,462,257,662,1137,310,410,410,910,810,410,410,910,410,910,410,410,410
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,313,919,414,818,414,414,414,919,414,414,414,919,414,119,538,538,468,261,672,1148,313,414,414,919,818,414,414,919,414,919,414,414,414
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,316,928,418,826,418,418,418,928,418,418,418,928,418,124,546,546,474,265,682,1160,316,418,418,928,826,418,418,928,418,928,418,418,418
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,319,937,422,834,422,422,422,937,422,422,422,937,422,129,554,554,480,269,692,1171,319,422,422,937,834,422,422,937,422,937,422,422,422
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,322,946,426,842,426,426,426,946,426,426,426,946,426,134,562,562,486,273,702,1182,322,426,426,946,842,426,426,946,426,946,426,426,426
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,325,955,430,850,430,430,430,955,430,430,430,955,430,139,570,570,492,278,712,1193,325,430,430,955,850,430,430,955,430,955,430,430,430
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,328,964,434,858,434,434,434,964,434,434,434,964,434,144,578,578,498,283,722,1205,328,434,434,964,858,434,434,964,434,964,434,434,434
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,331,973,438,866,438,438,438,973,438,438,438,973,438,149,586,586,504,288,732,1216,331,438,438,973,866,438,438,973,438,973,438,438,438
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,334,982,442,874,442,442,442,982,442,442,442,982,442,154,594,594,510,293,742,1227,334,442,442,982,874,442,442,982,442,982,442,442,442
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,337,991,446,882,446,446,446,991,446,446,446,991,446,159,602,602,516,298,752,1238,337,446,446,991,882,446,446,991,446,991,446,446,446
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,340,1000,450,890,450,450,450,1000,450,450,450,1000,450,164,610,610,522,304,762,1250,340,450,450,1000,890,450,450,1000,450,1000,450,450,450
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,343,1009,454,898,454,454,454,1009,454,454,454,1009,454,169,618,618,528,310,772,1261,343,454,454,1009,898,454,454,1009,454,1009,454,454,454
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,346,1018,458,906,458,458,458,1018,458,458,458,1018,458,174,626,626,534,316,782,1272,346,458,458,1018,906,458,458,1018,458,1018,458,458,458
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,349,1027,462,914,462,462,462,1027,462,462,462,1027,462,179,634,634,540,322,792,1283,349,462,462,1027,914,462,462,1027,462,1027,462,462,462
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,352,1036,466,922,466,466,466,1036,466,466,466,1036,466,184,642,642,546,328,802,1295,352,466,466,1036,922,466,466,1036,466,1036,466,466,466
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,355,1045,470,930,470,470,470,1045,470,470,470,1045,470,189,650,650,552,335,812,1306,355,470,470,1045,930,470,470,1045,470,1045,470,470,470
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,358,1054,474,938,474,474,474,1054,474,474,474,1054,474,194,658,658,558,342,822,1317,358,474,474,1054,938,474,474,1054,474,1054,474,474,474
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,361,1063,478,946,478,478,478,1063,478,478,478,1063,478,199,666,666,564,349,832,1328,361,478,478,1063,946,478,478,1063,478,1063,478,478,478
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,364,1072,482,954,482,482,482,1072,482,482,482,1072,482,204,674,674,570,356,842,1340,364,482,482,1072,954,482,482,1072,482,1072,482,482,482
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,367,1081,486,962,486,486,486,1081,486,486,486,1081,486,209,682,682,576,363,852,1351,367,486,486,1081,962,486,486,1081,486,1081,486,486,486
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,370,1090,490,970,490,490,490,1090,490,490,490,1090,490,214,690,690,582,371,862,1362,370,490,490,1090,970,490,490,1090,490,1090,490,490,490
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,373,1099,494,978,494,494,494,1099,494,494,494,1099,494,219,698,698,588,379,872,1373,373,494,494,1099,978,494,494,1099,494,1099,494,494,494
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,376,1108,498,986,498,498,498,1108,498,498,498,1108,498,224,706,706,594,387,882,1385,376,498,498,1108,986,498,498,1108,498,1108,498,498,498
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,379,1117,502,994,502,502,502,1117,502,502,502,1117,502,229,714,714,600,395,892,1396,379,502,502,1117,994,502,502,1117,502,1117,502,502,502
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,382,1126,506,1002,506,506,506,1126,506,506,506,1126,506,234,722,722,606,403,902,1407,382,506,506,1126,1002,506,506,1126,506,1126,506,506,506
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,385,1135,510,1010,510,510,510,1135,510,510,510,1135,510,239,730,730,612,412,912,1418,385,510,510,1135,1010,510,510,1135,510,1135,510,510,510
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,388,1144,514,1018,514,514,514,1144,514,514,514,1144,514,244,738,738,618,421,922,1430,388,514,514,1144,1018,514,514,1144,514,1144,514,514,514
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,391,1153,518,1026,518,518,518,1153,518,518,518,1153,518,249,746,746,624,430,932,1441,391,518,518,1153,1026,518,518,1153,518,1153,518,518,518
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,394,1162,522,1034,522,522,522,1162,522,522,522,1162,522,254,754,754,630,439,942,1452,394,522,522,1162,1034,522,522,1162,522,1162,522,522,522
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,397,1171,526,1042,526,526,526,1171,526,526,526,1171,526,259,762,762,636,448,952,1463,397,526,526,1171,1042,526,526,1171,526,1171,526,526,526
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,400,1180,530,1050,530,530,530,1180,530,530,530,1180,530,264,770,770,642,458,962,1475,400,530,530,1180,1050,530,530,1180,530,1180,530,530,530
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403,1189,534,1058,534,534,534,1189,534,534,534,1189,534,269,778,778,648,468,972,1486,403,534,534,1189,1058,534,534,1189,534,1189,534,534,534
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,406,1198,538,1066,538,538,538,1198,538,538,538,1198,538,274,786,786,654,478,982,1497,406,538,538,1198,1066,538,538,1198,538,1198,538,538,538
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,409,1207,542,1074,542,542,542,1207,542,542,542,1207,542,279,794,794,660,488,992,1508,409,542,542,1207,1074,542,542,1207,542,1207,542,542,542
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,412,1216,546,1082,546,546,546,1216,546,546,546,1216,546,284,802,802,666,498,1002,1520,412,546,546,1216,1082,546,546,1216,546,1216,546,546,546
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,415,1225,550,1090,550,550,550,1225,550,550,550,1225,550,289,810,810,672,509,1012,1531,415,550,550,1225,1090,550,550,1225,550,1225,550,550,550
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,418,1234,554,1098,554,554,554,1234,554,554,554,1234,554,294,818,818,678,520,1022,1542,418,554,554,1234,1098,554,554,1234,554,1234,554,554,554
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,421,1243,558,1106,558,558,558,1243,558,558,558,1243,558,299,826,826,684,531,1032,1553,421,558,558,1243,1106,558,558,1243,558,1243,558,558,558
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,424,1252,562,1114,562,562,562,1252,562,562,562,1252,562,304,834,834,690,542,1042,1565,424,562,562,1252,1114,562,562,1252,562,1252,562,562,562
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,427,1261,566,1122,566,566,566,1261,566,566,566,1261,566,309,842,842,696,553,1052,1576,427,566,566,1261,1122,566,566,1261,566,1261,566,566,566
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,430,1270,570,1130,570,570,570,1270,570,570,570,1270,570,314,850,850,702,565,1062,1587,430,570,570,1270,1130,570,570,1270,570,1270,570,570,570
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,433,1279,574,1138,574,574,574,1279,574,574,574,1279,574,319,858,858,708,577,1072,1598,433,574,574,1279,1138,574,574,1279,574,1279,574,574,574
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,436,1288,578,1146,578,578,578,1288,578,578,578,1288,578,324,866,866,714,589,1082,1610,436,578,578,1288,1146,578,578,1288,578,1288,578,578,578
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,439,1297,582,1154,582,582,582,1297,582,582,582,1297,582,329,874,874,720,601,1092,1621,439,582,582,1297,1154,582,582,1297,582,1297,582,582,582
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,442,1306,586,1162,586,586,586,1306,586,586,586,1306,586,334,882,882,726,613,1102,1632,442,586,586,1306,1162,586,586,1306,586,1306,586,586,586
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,445,1315,590,1170,590,590,590,1315,590,590,590,1315,590,339,890,890,732,626,1112,1643,445,590,590,1315,1170,590,590,1315,590,1315,590,590,590
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,448,1324,594,1178,594,594,594,1324,594,594,594,1324,594,344,898,898,738,639,1122,1655,448,594,594,1324,1178,594,594,1324,594,1324,594,594,594
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,451,1333,598,1186,598,598,598,1333,598,598,598,1333,598,349,906,906,744,642,1132,1666,451,598,598,1333,1186,598,598,1333,598,1333,598,598,598
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,454,1342,602,1194,602,602,602,1342,602,602,602,1342,602,354,914,914,750,655,1142,1677,454,602,602,1342,1194,602,602,1342,602,1342,602,602,602
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,457,1351,606,1202,606,606,606,1351,606,606,606,1351,606,359,922,922,756,668,1152,1688,457,606,606,1351,1202,606,606,1351,606,1351,606,606,606
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,460,1360,610,1210,610,610,610,1360,610,610,610,1360,610,364,930,930,762,682,1162,1700,460,610,610,1360,1210,610,610,1360,610,1360,610,610,610
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,1369,650,1258,700,670,700,1369,614,614,614,1369,614,369,958,958,774,696,1197,1711,500,700,670,1369,1258,650,700,1369,614,1369,614,614,614
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,566,1378,675,1286,760,695,760,1378,648,648,618,1378,618,374,976,976,786,710,1207,1722,566,760,695,1378,1286,675,760,1378,618,1378,618,648,648
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,629,1387,680,1334,820,700,820,1387,702,702,622,1387,622,379,994,994,798,724,1242,1733,629,820,700,1387,1334,680,820,1387,622,1387,622,702,702
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,672,1396,695,1372,880,715,880,1396,726,726,626,1396,626,384,1002,1002,810,738,1252,1745,672,880,715,1396,1372,695,880,1396,626,1396,626,726,726
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,710,1405,710,1410,930,730,930,1405,750,750,630,1405,630,389,1014,1014,822,753,1267,1756,710,930,730,1405,1410,710,930,1405,630,1405,630,750,750
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,748,1414,725,1458,965,745,965,1414,774,774,634,1414,634,394,1028,1028,836,768,1285,1767,748,965,745,1414,1458,725,965,1414,634,1414,634,774,774
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,781,1423,740,1466,1020,760,1020,1423,808,808,638,1423,638,399,1046,1046,850,783,1307,1778,781,1020,760,1423,1466,740,1020,1423,638,1423,638,808,808
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,824,1432,765,1474,1132,785,1132,1432,822,822,642,1432,642,404,1060,1060,864,798,1325,1790,824,1132,785,1432,1474,765,1132,1432,642,1432,642,822,822
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,847,1441,770,1482,1160,790,1160,1441,846,846,646,1441,646,409,1082,1082,878,813,1352,1801,847,1160,790,1441,1482,770,1160,1441,646,1441,646,846,846
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,890,1450,785,1490,1230,805,1230,1450,850,850,650,1450,650,414,1100,1100,892,829,1375,1812,890,1230,805,1450,1490,785,1230,1450,650,1450,650,850,850
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,894,1460,790,1499,1235,810,1235,1460,855,855,655,1460,655,419,1108,1108,908,835,1385,1825,894,1235,810,1460,1499,790,1235,1460,655,1460,655,855,855
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,898,1470,795,1508,1240,815,1240,1470,860,860,660,1470,660,424,1116,1116,924,851,1395,1837,898,1240,815,1470,1508,795,1240,1470,660,1470,660,860,860
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,902,1480,800,1517,1245,820,1245,1480,865,865,665,1480,665,429,1124,1124,940,867,1405,1850,902,1245,820,1480,1517,800,1245,1480,665,1480,665,865,865
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,906,1490,805,1526,1250,825,1250,1490,870,870,670,1490,670,434,1132,1132,956,883,1415,1862,906,1250,825,1490,1526,805,1250,1490,670,1490,670,870,870
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,910,1500,810,1535,1255,830,1255,1500,875,875,675,1500,675,439,1140,1140,972,899,1425,1875,910,1255,830,1500,1535,810,1255,1500,675,1500,675,875,875
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,915,1511,816,1545,1261,836,1261,1511,881,881,681,1511,681,444,1148,1148,990,916,1435,1888,915,1261,836,1511,1545,816,1261,1511,681,1511,681,881,881
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,920,1522,822,1555,1267,842,1267,1522,887,887,687,1522,687,449,1156,1156,1008,933,1445,1902,920,1267,842,1522,1555,822,1267,1522,687,1522,687,887,887
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,925,1533,828,1565,1273,848,1273,1533,893,893,693,1533,693,454,1164,1164,1026,950,1455,1916,925,1273,848,1533,1565,828,1273,1533,693,1533,693,893,893
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,930,1544,834,1575,1279,854,1279,1544,899,899,699,1544,699,459,1172,1172,1044,967,1465,1930,930,1279,854,1544,1575,834,1279,1544,699,1544,699,899,899
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,935,1555,840,1585,1285,860,1285,1555,905,905,705,1555,705,464,1180,1180,1062,984,1475,1943,935,1285,860,1555,1585,840,1285,1555,705,1555,705,905,905
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,941,1567,847,1596,1292,867,1292,1567,912,912,712,1567,712,469,1188,1188,1080,1002,1484,1958,941,1292,867,1567,1596,847,1292,1567,712,1567,712,912,912
